link,Oferta od,Kategoria,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Kraj pochodzenia,Zarejestrowany w Polsce,Bezwypadkowy,Stan,Cena
https://www.otomoto.pl/oferta/volkswagen-golf-1-6-benzyna-102ps-alu-pdc-klima-import-z-niemiec-ID6FiZxC.html,Osoby prywatnej,Osobowe,VI (2008-2013),2009,189 500 km,1 595 cm3,Benzyna,102 KM,Manualna,Na przednie koła,9 l/100km,Kompakt,5,5,Srebrny,Niemcy,,Tak,Używane,26 900
https://www.otomoto.pl/oferta/volkswagen-golf-highline-1-4-tsi-125-km-salon-polska-gwarancja-dealer-vw-ID6Fk8Ag.html,Firmy,Osobowe,VII (2012-2020),2018,113 200 km,1 395 cm3,Benzyna,125 KM,Manualna,Na przednie koła,6 l/100km,Kompakt,5,5,Srebrny,Polska,Tak,Tak,Używane,72 900
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-vi-1-6-tdi-highline-ID6EXt8C.html,Osoby prywatnej,Osobowe,VI (2008-2013),2011,304 000 km,1 598 cm3,Diesel,105 KM,Manualna,Na przednie koła,"4,70 l/100km",Kombi,5,5,Inny kolor,Belgia,Tak,Tak,Używane,22 500
https://www.otomoto.pl/oferta/volkswagen-golf-1-6mpi-sport-line-jeden-wlasciciel-bezwypadkowy-ID6Fk7IN.html,Osoby prywatnej,Osobowe,V (2003-2009),2005,189 500 km,1 595 cm3,Benzyna,102 KM,Manualna,Na przednie koła,9 l/100km,Kompakt,5,5,Czarny,Niemcy,,Tak,Używane,15 800
https://www.otomoto.pl/oferta/volkswagen-golf-1-9tdi-gti-recaro-navi-tempomat-ID6Fj3IH.html,Osoby prywatnej,Osobowe,IV (1997-2006),1999,265 000 km,1 896 cm3,Diesel,110 KM,Manualna,,6 l/100km,Kompakt,3,,Czarny,,,Tak,Używane,8 999
https://www.otomoto.pl/oferta/volkswagen-golf-115-koni-dsg-ladny-stan-1wl-salon-pl-fv23-we622vr-ID6EMdzW.html,Firmy,Osobowe,VII (2012-2020),2018,104 000 km,1 598 cm3,Diesel,115 KM,Automatyczna,Na przednie koła,"4,10 l/100km",Kombi,5,5,Szary,Polska,Tak,Tak,Używane,68 900
https://www.otomoto.pl/oferta/volkswagen-golf-150-koni-oryginal-lakier-1wl-salon-pl-fv23-we323yl-ID6EYrfb.html,Firmy,Osobowe,VII (2012-2020),2020,182 000 km,1 498 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,"6,60 l/100km",Kombi,5,5,Szary,Polska,Tak,Tak,Używane,67 900
https://www.otomoto.pl/oferta/volkswagen-golf-1-6tdi115km-climatronic-fabryczny-lakier-alu-salonpl-1wl-2020-fv23-ID6Fk6Wt.html,Firmy,Osobowe,VII (2012-2020),2020,180 000 km,1 598 cm3,Diesel,115 KM,Manualna,Na przednie koła,"4,60 l/100km",Kompakt,5,5,Biały,Polska,Tak,Tak,Używane,56 999
https://www.otomoto.pl/oferta/volkswagen-golf-od-reki-8-r-2-0-dsg-ID6Fi6wP.html,Firmy,Osobowe,VIII (2020-),2022,1 km,1 984 cm3,Benzyna,320 KM,Automatyczna,4x4 (dołączany ręcznie),,Auta miejskie,5,5,Niebieski,Polska,,Tak,Nowe,265 120
https://www.otomoto.pl/oferta/volkswagen-golf-2-0-tdi-4x4-4motion-highline-ergoactive-stan-idealny-led-bezwypadkowy-ID6F2g3H.html,Osoby prywatnej,Osobowe,VII (2012-2020),2013,230 000 km,1 968 cm3,Diesel,150 KM,Manualna,4x4 (dołączany automatycznie),5 l/100km,Kompakt,5,5,Czarny,Austria,,Tak,Używane,56 700
https://www.otomoto.pl/oferta/volkswagen-golf-1-5-tsi-dsg-tylko-53-tysiecy-przebiegu-wersja-match-kamera-2020-model-ID6Fhw4U.html,Osoby prywatnej,Osobowe,VII (2012-2020),2020,54 022 km,1 498 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,"6,10 l/100km",Kompakt,5,5,Szary,,,Tak,Używane,80 000
https://www.otomoto.pl/oferta/volkswagen-golf-r-line-1-5-tsi-150-dsg-i-kwartal-ID6FgIod.html,Firmy,Osobowe,VIII (2020-),2023,8 km,1 498 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,,Kompakt,5,5,Żółty,Polska,,Tak,Nowe,169 900
https://www.otomoto.pl/oferta/volkswagen-golf-1-5-tsi-130km-highline-salon-polska-i-wlasciciel-serwis-aso-fv23-ID6FiPzn.html,Firmy,Osobowe,VII (2012-2020),2019,80 000 km,1 498 cm3,Benzyna,130 KM,Manualna,Na przednie koła,8 l/100km,Kompakt,5,5,Szary,Polska,Tak,Tak,Używane,79 900
https://www.otomoto.pl/oferta/volkswagen-golf-idealny-stan-techniczny-ID6Fk5c5.html,Osoby prywatnej,Osobowe,IV (1997-2006),2001,300 000 km,1 896 cm3,Diesel,100 KM,Manualna,Na przednie koła,6 l/100km,Kompakt,3,5,Czarny,Niemcy,Tak,Tak,Używane,9 000
https://www.otomoto.pl/oferta/volkswagen-golf-1-4-b-122-km-klima-alu-tempomat-oplacone-ID6F6sSb.html,Osoby prywatnej,Osobowe,V (2003-2009),2008,194 000 km,1 395 cm3,Benzyna,122 KM,Manualna,Na przednie koła,6 l/100km,Kompakt,5,5,Srebrny,,,Tak,Używane,18 900
https://www.otomoto.pl/oferta/volkswagen-golf-r-dostepny-od-reki-ID6Fjlng.html,Firmy,Osobowe,VIII (2020-),2022,,1 984 cm3,Benzyna,,Automatyczna,4x4 (stały),,Kompakt,,,Niebieski,Polska,,Tak,Nowe,250 380
https://www.otomoto.pl/oferta/volkswagen-golf-150-koni-ladny-stan-1wl-salon-pl-fv23-we704yl-ID6EYq5J.html,Firmy,Osobowe,VII (2012-2020),2020,180 000 km,1 498 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,"6,60 l/100km",Kombi,5,5,Czarny,Polska,Tak,Tak,Używane,67 900
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-v-gt-sport-nowy-silnik-po-71-000km-ID6FehQS.html,Osoby prywatnej,Osobowe,V (2003-2009),2006,216 000 km,1 390 cm3,Benzyna,170 KM,Manualna,Na przednie koła,9 l/100km,Sedan,5,5,Czarny,Niemcy,Tak,Tak,Używane,22 000
https://www.otomoto.pl/oferta/volkswagen-golf-grzane-fotele-i-lusterka-tempomat-klimatyzacja-gwarancja-bezwypadek-ID6F7gUZ.html,Firmy,Osobowe,VII (2012-2020),2014,189 736 km,1 598 cm3,Diesel,105 KM,Manualna,Na przednie koła,,Kombi,5,5,Srebrny,Niemcy,Tak,Tak,Używane,39 999
https://www.otomoto.pl/oferta/volkswagen-golf-7-fl-gti-2-0tsi-245km-dsg-1rej2020-led-nav-keyless-kamera-acc210-18-ID6FfhSR.html,Firmy,Osobowe,VII (2012-2020),2019,74 674 km,1 984 cm3,Benzyna,245 KM,Automatyczna,Na przednie koła,,Kompakt,5,5,Biały,Polska,Tak,Tak,Używane,114 900
https://www.otomoto.pl/oferta/volkswagen-golf-gti-2-0-tsi-245-km-dsg-harman-kardon-ID6FblY3.html,Firmy,Osobowe,VIII (2020-),2023,5 km,1 984 cm3,Benzyna,245 KM,Automatyczna,Na przednie koła,,Kompakt,5,5,Biały,Polska,,Tak,Nowe,190 900
https://www.otomoto.pl/oferta/volkswagen-golf-igla-bezwypadkowe-ID6F6FUt.html,Osoby prywatnej,Osobowe,VI (2008-2013),2009,235 000 km,1 968 cm3,Diesel,110 KM,Manualna,,,Kompakt,5,5,Złoty,,Tak,Tak,Używane,27 900
https://www.otomoto.pl/oferta/volkswagen-golf-7-fl-var-highline-1-5tsi-150km-dsg-1rej2019-topled-nav-rearassist-17-ID6FaL7u.html,Firmy,Osobowe,VII (2012-2020),2018,49 494 km,1 498 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,,Kombi,5,5,Czarny,Polska,Tak,Tak,Używane,99 900
https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-vii-variant-comfortline-1-4-tsi-150-km-2015-r-salon-polska-ID6Fk0wp.html,Osoby prywatnej,Osobowe,VII (2012-2020),2015,230 000 km,1 395 cm3,Benzyna,150 KM,Manualna,Na przednie koła,"6,70 l/100km",Kombi,5,5,Szary,Polska,Tak,Tak,Używane,48 500
https://www.otomoto.pl/oferta/volkswagen-golf-ID6EOq2g.html,Osoby prywatnej,Osobowe,VII (2012-2020),2016,241 400 km,1 598 cm3,Diesel,110 KM,Automatyczna,Na przednie koła,"4,50 l/100km",Kombi,5,5,Biały,Włochy,Tak,Tak,Używane,39 900
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-variant-vi-2010-highline-pierwszy-wlasciciel-ID6FdhPC.html,Osoby prywatnej,Osobowe,VI (2008-2013),2010,279 311 km,1 598 cm3,Diesel,105 KM,Manualna,Na przednie koła,5 l/100km,Kombi,5,5,Szary,Polska,Tak,Tak,Używane,21 900
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-cesja-leasingu-stan-idealny-ID6EMlPa.html,Osoby prywatnej,Osobowe,VIII (2020-),2022,6 900 km,1 984 cm3,Benzyna,320 KM,Automatyczna,,,Kompakt,5,5,Czarny,Polska,,Tak,Używane,259 100
https://www.otomoto.pl/oferta/volkswagen-golf-vii-1-6-tdi-comfortline-bluemotion-ID6Fic1K.html,Firmy,Osobowe,VII (2012-2020),2015,232 560 km,1 598 cm3,Diesel,110 KM,Manualna,Na przednie koła,"3,90 l/100km",Kombi,5,5,Biały,,,Tak,Używane,38 999
https://www.otomoto.pl/oferta/volkswagen-golf-od-reki-8-r-320km-dsg-ID6FhZeX.html,Firmy,Osobowe,VIII (2020-),2022,1 km,1 984 cm3,Benzyna,320 KM,Automatyczna,4x4 (dołączany ręcznie),,Auta miejskie,5,5,Biały,Polska,,Tak,Nowe,280 080
https://www.otomoto.pl/oferta/volkswagen-golf-life-1-5-tsi-evo-130-km-kwiecien-2023-plichta-gdansk-ID6FiXqg.html,Firmy,Osobowe,VIII (2020-),2023,5 km,1 498 cm3,Benzyna,130 KM,Manualna,Na przednie koła,,Kompakt,5,5,Szary,Polska,,Tak,Nowe,126 900
https://www.otomoto.pl/oferta/volkswagen-golf-life-1-5-tsi-130-km-kwiecien-2023-plichta-gdansk-ID6FiXkE.html,Firmy,Osobowe,VIII (2020-),2023,5 km,1 498 cm3,Benzyna,130 KM,Manualna,Na przednie koła,,Kompakt,5,5,Czarny,Polska,,Tak,Nowe,126 900
https://www.otomoto.pl/oferta/volkswagen-golf-od-reki-r-2-0-tsi-4motion-320km-uklad-wydechowy-akrapovic-ID6FgNB9.html,Firmy,Osobowe,VIII (2020-),2022,1 km,1 984 cm3,Benzyna,320 KM,Automatyczna,4x4 (dołączany ręcznie),,Kompakt,5,5,Biały,Polska,,Tak,Nowe,263 762
https://www.otomoto.pl/oferta/volkswagen-golf-pierwszy-wlasciciel-stan-11-10-dopieszczony-wizualnie-ID6FjPSt.html,Osoby prywatnej,Osobowe,VIII (2020-),2021,36 057 km,1 984 cm3,Benzyna,320 KM,Automatyczna,4x4 (stały),,Kompakt,5,5,Granatowy,Polska,Tak,Tak,Używane,210 330
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-vii-2-0-tdi-bmt-ID6FjNZ7.html,Osoby prywatnej,Osobowe,VII (2012-2020),2017,220 000 km,1 968 cm3,Diesel,150 KM,Automatyczna,,5 l/100km,Kombi,5,5,Błękitny,Polska,Tak,Tak,Używane,53 000
https://www.otomoto.pl/oferta/volkswagen-golf-115-koni-oryginal-lakier-ladny-stan-1wl-salon-pl-fv23-we155tu-ID6F0Wop.html,Firmy,Osobowe,VII (2012-2020),2018,139 000 km,1 598 cm3,Diesel,115 KM,Manualna,Na przednie koła,"4,70 l/100km",Kombi,5,5,Niebieski,Polska,Tak,Tak,Używane,58 900
https://www.otomoto.pl/oferta/volkswagen-golf-oryginal-lak-fv23-salonpl-tsi-115km-led-pakiet-business-gwarancja-ID6FhbrS.html,Firmy,Osobowe,VII (2012-2020),2020,133 000 km,999 cm3,Benzyna,115 KM,Manualna,Na przednie koła,,Kompakt,5,5,Szary,Polska,Tak,Tak,Używane,54 900
https://www.otomoto.pl/oferta/volkswagen-golf-1-4i-16vklimaoplaconyserwisowanybrak-rdzy-ID6Ff9Vj.html,Osoby prywatnej,Osobowe,V (2003-2009),2005,198 121 km,1 390 cm3,Benzyna,75 KM,Manualna,Na przednie koła,9 l/100km,Kompakt,5,5,Srebrny,Niemcy,,Tak,Używane,14 900
https://www.otomoto.pl/oferta/volkswagen-golf-1-4-tsi-comfortline-bmt-salon-polska-serwis-aso-xenon-bi-xenon-ID6FiUao.html,Firmy,Osobowe,VII (2012-2020),2016,109 266 km,1 390 cm3,Benzyna,125 KM,Manualna,Na przednie koła,,Kombi,5,5,Czarny,Polska,Tak,Tak,Używane,56 999
https://www.otomoto.pl/oferta/volkswagen-golf-1-0-tsi-90-km-marzec-2023-plichta-gdansk-ID6Fi6NW.html,Firmy,Osobowe,VIII (2020-),2023,5 km,999 cm3,Benzyna,90 KM,Manualna,Na przednie koła,,Kompakt,5,5,Niebieski,Polska,,Tak,Nowe,102 900
https://www.otomoto.pl/oferta/volkswagen-golf-r-2-0-tsi-4motion-320-km-dsg-ID6FiT5a.html,Firmy,Osobowe,VIII (2020-),2023,5 km,1 984 cm3,Benzyna,320 KM,Automatyczna,4x4 (dołączany automatycznie),,Kompakt,5,5,Niebieski,Polska,,Tak,Nowe,256 000
https://www.otomoto.pl/oferta/volkswagen-golf-oplacony-klimatyzacja-ID6Ffoft.html,Osoby prywatnej,Osobowe,IV (1997-2006),2000,298 000 km,1 598 cm3,Benzyna,105 KM,Manualna,Na przednie koła,9 l/100km,Kompakt,5,5,Inny kolor,Niemcy,,Tak,Używane,7 500
https://www.otomoto.pl/oferta/volkswagen-golf-130-koni-oryginal-lakier-1wl-salon-pl-fv23-wpr3838g-ID6F241y.html,Firmy,Osobowe,VII (2012-2020),2019,78 000 km,1 498 cm3,Benzyna,130 KM,Automatyczna,Na przednie koła,"6,10 l/100km",Kombi,5,5,Granatowy,Polska,Tak,Tak,Używane,79 900
https://www.otomoto.pl/oferta/volkswagen-golf-1-4-tsi-comfortline-salon-polska-1-wlasciciel-serwis-aso-ID6FiSSo.html,Firmy,Osobowe,VII (2012-2020),2017,152 401 km,1 390 cm3,Benzyna,125 KM,Manualna,Na przednie koła,,Kombi,5,5,Czarny,Polska,Tak,Tak,Używane,58 000
https://www.otomoto.pl/oferta/volkswagen-golf-1-6-tdi-salon-polska-serwis-aso-vat-23-klima-tempomat-ID6FiRMS.html,Firmy,Osobowe,VII (2012-2020),2018,111 932 km,1 598 cm3,Diesel,115 KM,Manualna,Na przednie koła,,Kombi,5,5,Srebrny,Polska,Tak,Tak,Używane,56 000
https://www.otomoto.pl/oferta/volkswagen-golf-1-5-etsi-salon-polska-1-wlasciciel-serwis-aso-automat-ID6FiRKx.html,Firmy,Osobowe,VIII (2020-),2020,28 693 km,1 498 cm3,Hybryda,150 KM,Automatyczna,Na przednie koła,,Kompakt,5,5,Żółty,Polska,Tak,Tak,Używane,105 999
https://www.otomoto.pl/oferta/volkswagen-golf-1-5-tsi-salon-polska-1-wlasciciel-serwis-aso-automat-navi-ID6FiRyg.html,Firmy,Osobowe,VII (2012-2020),2019,41 027 km,1 498 cm3,Benzyna,130 KM,Automatyczna,Na przednie koła,,Kompakt,5,5,Biały,Polska,Tak,Tak,Używane,86 999
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-1-6-tdi-bmt-comfortline-bogate-wyposazenie-ID6FjJEM.html,Osoby prywatnej,Osobowe,VII (2012-2020),2017,156 000 km,1 598 cm3,Diesel,115 KM,Manualna,Na przednie koła,,Kombi,5,5,Bordowy,Niemcy,Tak,Tak,Używane,59 900
https://www.otomoto.pl/oferta/volkswagen-golf-1-2-tsi-salon-polska-serwis-aso-xenon-bi-xenon-klimatronic-ID6FjJve.html,Firmy,Osobowe,VII (2012-2020),2016,124 520 km,1 197 cm3,Benzyna,110 KM,Manualna,Na przednie koła,,Kombi,5,5,Biały,Polska,Tak,Tak,Używane,47 499
https://www.otomoto.pl/oferta/volkswagen-golf-tsi-4motion-300km-r-active-info-display-led-top-fv23-bezwypadkowy-ID6F1Ky7.html,Firmy,Osobowe,VII (2012-2020),2020,19 870 km,1 984 cm3,Benzyna,300 KM,Automatyczna,4x4 (dołączany automatycznie),"8,10 l/100km",Kombi,5,5,Szary,Niemcy,Tak,Tak,Używane,159 900
https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-6-2-0-tdi-140km-highline-ID6FjJ3y.html,Osoby prywatnej,Osobowe,VI (2008-2013),2009,295 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,6 l/100km,Kompakt,5,5,Czerwony,Polska,Tak,Tak,Używane,24 990
https://www.otomoto.pl/oferta/volkswagen-golf-golf-7-gti-performance-swietny-stan-ID6FjIHQ.html,Osoby prywatnej,Osobowe,VII (2012-2020),2017,84 000 km,1 984 cm3,Benzyna,245 KM,Automatyczna,,"9,30 l/100km",Kompakt,5,,Biały,Niemcy,,Tak,Używane,95 000
https://www.otomoto.pl/oferta/volkswagen-golf-volksvagen-golf-mk7-gti-ID6FjHEy.html,Osoby prywatnej,Osobowe,VII (2012-2020),2017,89 500 km,1 984 cm3,Benzyna,220 KM,Automatyczna,Na przednie koła,8 l/100km,Kompakt,5,5,Czerwony,,Tak,Tak,Używane,89 900
https://www.otomoto.pl/oferta/volkswagen-golf-idealne-na-twoje-potrzeby-ID6FjIfp.html,Osoby prywatnej,Osobowe,VII (2012-2020),2018,126 900 km,1 598 cm3,Diesel,110 KM,Manualna,,4 l/100km,Kombi,5,5,Biały,Polska,Tak,Tak,Używane,55 500
https://www.otomoto.pl/oferta/volkswagen-golf-golf-7r-niski-przebieg-faktura-vat-ID6Fi1Zu.html,Osoby prywatnej,Osobowe,VII (2012-2020),2015,77 900 km,1 984 cm3,Benzyna,300 KM,Automatyczna,,8 l/100km,Kompakt,3,5,Biały,Polska,,Tak,Używane,92 000
https://www.otomoto.pl/oferta/volkswagen-golf-1-6-mpi-klimatronik-elektryczne-szyby-opony-wielosezonowe-ID6Ff6sE.html,Osoby prywatnej,Osobowe,V (2003-2009),2007,179 000 km,1 595 cm3,Benzyna,102 KM,Manualna,Na przednie koła,7 l/100km,Kompakt,5,5,Szary,Niemcy,,Tak,Używane,18 900
https://www.otomoto.pl/oferta/volkswagen-golf-polski-salon-2-kpl-opon-climatronic-tempomat-gwarancja-bezwypadek-ID6FiNOE.html,Firmy,Osobowe,VI (2008-2013),2013,208 100 km,1 598 cm3,Diesel,105 KM,Manualna,Na przednie koła,5 l/100km,Kombi,5,5,Srebrny,Polska,Tak,Tak,Używane,29 999
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-vi-diesel-2011-ID6EWKLr.html,Osoby prywatnej,Osobowe,VI (2008-2013),2011,180 000 km,1 598 cm3,Diesel,105 KM,Manualna,Na przednie koła,"5,70 l/100km",Kombi,5,5,Srebrny,Niemcy,Tak,Tak,Używane,25 900
https://www.otomoto.pl/oferta/volkswagen-golf-1-6mpi-8-zaworow-piekny-ID6FjHbD.html,Osoby prywatnej,Osobowe,VI (2008-2013),2009,183 000 km,1 595 cm3,Benzyna,102 KM,Manualna,Na przednie koła,9 l/100km,Kompakt,5,5,Czarny,Niemcy,,Tak,Używane,29 900
https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-v-1-6mpi-102km-united-klima-alu15-pdc-calyoryginal-ID6FjdLS.html,Osoby prywatnej,Osobowe,V (2003-2009),2008,220 000 km,1 595 cm3,Benzyna,102 KM,Manualna,Na przednie koła,9 l/100km,Kompakt,5,5,Niebieski,Niemcy,,Tak,Używane,20 700
https://www.otomoto.pl/oferta/volkswagen-golf-gwarancja-fv23-salonpl-1wl-tsi-115km-led-pakiet-business-ID6FiLUv.html,Firmy,Osobowe,VII (2012-2020),2020,98 000 km,999 cm3,Benzyna,115 KM,Manualna,Na przednie koła,"5,50 l/100km",Kompakt,5,5,Szary,Polska,Tak,Tak,Używane,55 900
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-kombi-vii-r-line-1-5-benzyna-dsg-ID6F5vhg.html,Osoby prywatnej,Osobowe,VII (2012-2020),2018,121 000 km,1 498 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,"6,50 l/100km",Kombi,5,5,Biały,Polska,Tak,Tak,Używane,86 900
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-vw-golf-kombi-dsg-2018-r-ciezarowy-vat1-ID6FiL9Z.html,Firmy,Osobowe,VII (2012-2020),2018,146 615 km,1 598 cm3,Diesel,115 KM,Automatyczna,,4 l/100km,Minivan,5,2,Srebrny,Francja,,Tak,Używane,68 019
https://www.otomoto.pl/oferta/volkswagen-golf-1-6-tdi-115km-comfortline-salon-pl-serwis-aso-pierwszy-wlasciciel-fv23-ID6Fh0qN.html,Firmy,Osobowe,VII (2012-2020),2018,100 858 km,1 598 cm3,Diesel,115 KM,Manualna,Na przednie koła,,Kombi,5,5,Niebieski,Polska,Tak,Tak,Używane,66 900
https://www.otomoto.pl/oferta/volkswagen-golf-2-komplety-kol-czujniki-android-tempomat-alu-gwarancja-bezwypadek-ID6Fh0ox.html,Firmy,Osobowe,VI (2008-2013),2010,194 500 km,1 598 cm3,Diesel,105 KM,Manualna,Na przednie koła,,Kompakt,5,5,Czarny,Niemcy,,Tak,Używane,35 999
https://www.otomoto.pl/oferta/volkswagen-golf-tsi-1-4-benzyna-120-km-wersja-haighline-salon-polska-ID6EXkHn.html,Osoby prywatnej,Osobowe,VI (2008-2013),2010,245 100 km,1 390 cm3,Benzyna,122 KM,Manualna,Na przednie koła,8 l/100km,Kompakt,5,5,Szary,Polska,,Tak,Używane,21 900
https://www.otomoto.pl/oferta/volkswagen-golf-sprzedam-volkswagen-golf-vi-highline-ID6EPYzN.html,Osoby prywatnej,Osobowe,VI (2008-2013),2009,217 000 km,1 390 cm3,Benzyna,122 KM,Manualna,Na przednie koła,8 l/100km,Kombi,5,5,Srebrny,Belgia,Tak,Tak,Używane,24 400
https://www.otomoto.pl/oferta/volkswagen-golf-r-2-0tsi-300km-acc-4x4-skora-dynaudio-szyba-przod-grzana-driveselect-ID6FjoYY.html,Firmy,Osobowe,VII (2012-2020),2019,127 494 km,1 984 cm3,Benzyna,300 KM,Automatyczna,4x4 (dołączany automatycznie),,Kombi,5,5,Niebieski,,Tak,Tak,Używane,129 900
https://www.otomoto.pl/oferta/volkswagen-golf-gtd-bardzo-zadbany-bixenon-led-szyberdach-dcc-dynaudio-8xalu-lato-zima-ID6FjEGt.html,Osoby prywatnej,Osobowe,VI (2008-2013),2011,153 000 km,1 968 cm3,Diesel,170 KM,Manualna,Na przednie koła,"6,50 l/100km",Kompakt,5,5,Czarny,Niemcy,Tak,Tak,Używane,50 900
https://www.otomoto.pl/oferta/volkswagen-golf-wv-golf-5-2-0-sdi-pancerny-silnik-klima-alu-ID6FjD2T.html,Osoby prywatnej,Osobowe,V (2003-2009),2004,242 000 km,1 968 cm3,Diesel,75 KM,Manualna,Na przednie koła,6 l/100km,Kompakt,3,5,Żółty,Polska,Tak,Tak,Używane,9 999
https://www.otomoto.pl/oferta/volkswagen-golf-vi-tsi-2011-rok-5-drzwi-przeb-151-tys-km-100-bezwypadkowy-igielka-ID6FjCJ2.html,Osoby prywatnej,Osobowe,VI (2008-2013),2011,151 000 km,1 197 cm3,Benzyna,105 KM,Manualna,Na przednie koła,6 l/100km,Kompakt,5,5,Czarny,Niemcy,,Tak,Używane,25 900
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-2-0-tsi-gti-dsg-cesja-leasingu-ID6FjCwd.html,Osoby prywatnej,Osobowe,VIII (2020-),2021,30 100 km,1 984 cm3,Benzyna,245 KM,Automatyczna,Na przednie koła,,Kompakt,5,5,Czerwony,Polska,Tak,Tak,Używane,177 207
